Question ID,Domain,Question Text,Question Type
A.1,A. Enterprise Risk Management,Is there a formalized risk governance policy approved by management that defines the Enterprise Risk Management program requirements?,"Yes,No,N/A"
A.1.1,A. Enterprise Risk Management,"Does the risk governance program include risk management policies, procedures, and internal controls?","Yes,No,N/A"
A.1.2,A. Enterprise Risk Management,"Does the risk governance program include range of assets to include: people, processes, data, and technology?","Yes,No,N/A"
A.1.3,A. Enterprise Risk Management,Does the governing body define the accountabilities of management and obligations of the Board of Directors for risk management?,"Yes,No,N/A"
A.1.4,A. Enterprise Risk Management,Is the risk governance program approved by senior management and/or board of directors?,"Yes,No,N/A"
A.1.5,A. Enterprise Risk Management,Is training provided to employees regarding risk expectations and their obligations?,"Yes,No,N/A"
A.1.6,A. Enterprise Risk Management,Does the organization's risk management program include processes that analyze risk at the enterprise level keeping stakeholders and senior management informed of risk management decisions?,"Yes,No,N/A"
A.2,A. Enterprise Risk Management,"Are there Subject Matter Experts (SMEs) and/or groups assigned to assess risk for distinct categories (e.g., operational, reputational, regulatory, technology, privacy, financial, etc.)?","Yes,No,N/A"
A.3,A. Enterprise Risk Management,"Is there a formalized Risk Assessment process that requires identifying, documenting, quantifying, categorizing, and prioritizing cybersecurity risks based on risk acceptance levels relevant to the organization that has been communicated?","Yes,No,N/A"
A.3.1,A. Enterprise Risk Management,Does the risk assessment process identify and monitor inherent and residual risk?,"Yes,No,N/A"
A.3.2,A. Enterprise Risk Management,Are risks to critical processes and entities reassessed annually?,"Yes,No,N/A"
A.3.3,A. Enterprise Risk Management,Does the organization have a process in place for documenting and approving the rationale and/or exclusion of specific controls in the risk management program?,"Yes,No,N/A"
A.3.4,A. Enterprise Risk Management,"Is there a formal process in the risk management program to identify, accept, prioritize, manage, and assign ownership with approved action plans for risk decisions?","Yes,No,N/A"
A.4,A. Enterprise Risk Management,"Does the Enterprise Risk Management program include measures for defining, monitoring, and reporting risk metrics to the appropriate stakeholders (e.g., KRIs, KPIs, SLAs, performance benchmarks, maturity levels, etc.)?","Yes,No,N/A"
B.1,B. Nth Party Management,Is there a third party risk management program that is reviewed and approved by management which includes 4th and Nth parties as part of the program?,"Yes,No,N/A"
B.1.1,B. Nth Party Management,"Are there established third-party risk management standards or procedures for selecting, overseeing, and assessing fourth/nth parties within the scope of provided services?","Yes,No,N/A"
B.1.2,B. Nth Party Management,"Have policies, standards, and procedures for implementing the third party risk management program been reviewed and approved by senior management?","Yes,No,N/A"
B.2,B. Nth Party Management,"For all organizational entities (e.g., vendor's vendors, subcontractors, fourth parties, Nth parties) is there a contractual relationship that extends obligations to each entity?","Yes,No,N/A"
