Question ID,Domain,Question Text,Question Type
A&A-01.1,Audit & Assurance,"Are audit and assurance policies, procedures, and standards established, documented,approved, communicated, applied, evaluated, and maintained?","Yes,No,NA"
A&A-01.2,Audit & Assurance,"Are audit and assurance policies, procedures, and standards reviewed and updatedat least annually, or upon significant changes?","Yes,No,NA"
A&A-02.1,Audit & Assurance,Are independent audit and assurance assessments conducted according to relevantstandards at least annually?,"Yes,No,NA"
A&A-03.1,Audit & Assurance,"Are independent audit and assurance assessments performed according to risk-basedplans and policies, and in response to significant changes or emerging risks?","Yes,No,NA"
A&A-04.1,Audit & Assurance,"Is compliance verified regarding all relevant standards, regulations, legal/contractual,and statutory requirements applicable to the audit?","Yes,No,NA"
A&A-05.1,Audit & Assurance,"Is an audit management process defined and implemented to support audit planning,risk analysis, security control assessments, conclusions, remediation schedules,report generation, and reviews of past reports and supporting evidence and aligned with relevant auditing standards?","Yes,No,NA"
A&A-06.1,Audit & Assurance,"Is a risk-based corrective action plan to remediate audit findings established,documented, approved, communicated, applied, evaluated, and maintained?","Yes,No,NA"
A&A-06.2,Audit & Assurance,Is the remediation status of audit findings regularly reviewed and reported to relevantstakeholders?,"Yes,No,NA"
AIS-01.1,Application & Interface Security,"Are application security policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?","Yes,No,NA"
AIS-01.2,Application & Interface Security,"Are application security policies and procedures reviewed and updated at leastannually, or upon any significant changes?","Yes,No,NA"
AIS-02.1,Application & Interface Security,"Are baseline requirements to secure applications established, documented,and maintained?","Yes,No,NA"
AIS-03.1,Application & Interface Security,"Are technical and operational metrics defined and implemented according tobusiness objectives, security requirements, and compliance obligations?","Yes,No,NA"
AIS-04.1,Application & Interface Security,"Is a secure SDLC process defined and implemented for application requirements analysis, planning, design, development, testing, deployment, and operation per organizationally designed security requirements?","Yes,No,NA"
AIS-05.1,Application & Interface Security,"Does the testing strategy outline criteria to accept new information systems, upgrades, and new versions while ensuring application security, compliance adherence, and meeting organizational delivery goals?","Yes,No,NA"
AIS-05.2,Application & Interface Security,Is testing automated when applicable and possible?,"Yes,No,NA"
AIS-06.1,Application & Interface Security,"Are strategies and capabilities established and implemented to deploy applicationcode in a secure, standardized, and compliant manner?","Yes,No,NA"
AIS-06.2,Application & Interface Security,Is the deployment and integration of application code automated where possible?,"Yes,No,NA"
AIS-07.1,Application & Interface Security,Are application security vulnerabilities remediated following defined processes?,"Yes,No,NA"
AIS-07.2,Application & Interface Security,Is the remediation of application security vulnerabilities automated whenpossible?,"Yes,No,NA"
AIS-08.1,Application & Interface Security,"Are processes, procedures, and technical measures defined and implemented to secure APIs?  ","Yes,No,NA"
AIS-08.2,Application & Interface Security,"Are reviews and updates for any improvements conducted at least annually, or upon significant changes? ","Yes,No,NA"
BCR-01.1,Business Continuity Management and Operational Resilience,"Are business continuity management and operational resilience policies andprocedures established, documented, approved, communicated, applied, evaluated,and maintained?","Yes,No,NA"
BCR-01.2,Business Continuity Management and Operational Resilience,"Are the policies and procedures reviewed and updated at least annually, or upon significant changes?","Yes,No,NA"
BCR-02.1,Business Continuity Management and Operational Resilience,Are criteria for developing business continuity and operational resiliencystrategies and capabilities established based on business disruption and riskimpacts?,"Yes,No,NA"
BCR-02.2,Business Continuity Management and Operational Resilience,Are the risk assessment and impact analysis reviewed and updated at least annually or upon significant changes?,"Yes,No,NA"
BCR-03.1,Business Continuity Management and Operational Resilience,"Are strategies being established to reduce the impact of business disruptions, and are resiliency and recovery from business disruptions being improved?","Yes,No,NA"
BCR-04.1,Business Continuity Management and Operational Resilience,"Are operational resilience strategies and capability results incorporatedto establish, document, approve, communicate, apply, evaluate, and maintain abusiness continuity plan?","Yes,No,NA"
BCR-05.1,Business Continuity Management and Operational Resilience,"Is relevant documentation developed, identified, and acquired both internally and from external parties, to support business continuity and operational resilience plans?","Yes,No,NA"
BCR-05.2,Business Continuity Management and Operational Resilience,Is business continuity and operational resilience documentation availableto authorized stakeholders?,"Yes,No,NA"
BCR-05.3,Business Continuity Management and Operational Resilience,Is business continuity and operational resilience documentation reviewed at least annually or upon significant changes?,"Yes,No,NA"
BCR-06.1,Business Continuity Management and Operational Resilience,Are the business continuity and operational resilience plans exercised andtested at least annually and when significant changes occur?,"Yes,No,NA"
BCR-07.1,Business Continuity Management and Operational Resilience,Are communication channels with all relevant stakeholders established and maintained during business continuity and resilience procedures?,"Yes,No,NA"
BCR-08.1,Business Continuity Management and Operational Resilience,Are backups performed periodically?,"Yes,No,NA"
BCR-08.2,Business Continuity Management and Operational Resilience,"Is the confidentiality, integrity, and availability of the backup ensured?","Yes,No,NA"
BCR-08.3,Business Continuity Management and Operational Resilience,Can backups be restored appropriately for resiliency?,"Yes,No,NA"
BCR-09.1,Business Continuity Management and Operational Resilience,"Is a disaster response plan established, documented, approved, applied, evaluated,and maintained to ensure recovery from natural and man-made disasters?","Yes,No,NA"
BCR-09.2,Business Continuity Management and Operational Resilience,"Is the disaster response plan updated at least annually, and when significantchanges occur?","Yes,No,NA"
BCR-10.1,Business Continuity Management and Operational Resilience,Is the disaster response plan exercised annually or when significant changesoccur?,"Yes,No,NA"
BCR-10.2,Business Continuity Management and Operational Resilience,"Are local emergency authorities included, if possible, in the exercise?","Yes,No,NA"
BCR-11.1,Business Continuity Management and Operational Resilience,"Are business-critical equipment supplemented with both locally redundant and geographically dispersed equipment located at a reasonable minimum distance, in accordance with applicable industry standards?","Yes,No,NA"
CCC-01.1,Change Control and Configuration Management,"Are policies and procedures for managing the risks associated with applying changes to assets owned, controlled, or used by the organization established, documented, approved, communicated, applied, evaluated, and maintained?","Yes,No,NA"
CCC-01.2,Change Control and Configuration Management,"Are the policies and procedures reviewed and updated at least annually, or upon significant changes?","Yes,No,NA"
CCC-02.1,Change Control and Configuration Management,"Is a defined quality change control, approval and testing process, incorporating baselines, testing, and release standards, established, maintained and implemented?","Yes,No,NA"
CCC-03.1,Change Control and Configuration Management,"Is a change management procedure implemented to manage the risks associated with applying changes to assets, owned, controlled or used by the organization?","Yes,No,NA"
CCC-04.1,Change Control and Configuration Management,"Is a procedure to authorize the addition, removal, update, and management of assets owned, controlled, or used by the organization, implemented and enforced?","Yes,No,NA"
CCC-05.1,Change Control and Configuration Management,Are provisions to limit changes directly impacting service customer-owned environments (tenants) to explicitly authorized requests included within service level agreements?,"Yes,No,NA"
CCC-06.1,Change Control and Configuration Management,"Are change management and configuration baselines established, documented and implemented for all relevant authorized changes on organizational assets?","Yes,No,NA"
CCC-06.2,Change Control and Configuration Management,Are the baselines reviewed and updated at least annually or upon significant changes?,"Yes,No,NA"
CCC-07.1,Change Control and Configuration Management,Are detection measures implemented with proactive notification if changesdeviate from established baselines?,"Yes,No,NA"
CCC-08.1,Change Control and Configuration Management,"Is a procedure implemented to manage exceptions, including emergencies, inthe change and configuration process?","Yes,No,NA"
CCC-08.2,Change Control and Configuration Management,Is the procedure aligned with the requirements of the GRC-04: Policy ExceptionProcess?,"Yes,No,NA"
CCC-09.1,Change Control and Configuration Management,"Is a process to proactively roll back changes to a previously known ""goodstate"" defined and implemented in case of errors or security concerns?","Yes,No,NA"
CEK-01.1,"Cryptography, Encryption & Key Management","Are cryptography, encryption, and key management policies and procedures established,documented, approved, communicated, applied, evaluated, and maintained?","Yes,No,NA"
CEK-01.2,"Cryptography, Encryption & Key Management","Are cryptography, encryption, and key management policies and procedures reviewedand updated at least annually, upon significant changes?","Yes,No,NA"
CEK-02.1,"Cryptography, Encryption & Key Management","Are cryptography, encryption, and key management roles and responsibilitiesdefined and implemented?","Yes,No,NA"
CEK-03.1,"Cryptography, Encryption & Key Management","Are data protection at-rest and in-transit, and where applicable in use, provided using cryptographic libraries certified to approved standards?","Yes,No,NA"
CEK-04.1,"Cryptography, Encryption & Key Management","Are encryption algorithms following industry standards utilized for protecting data, based on the data classification and associated risks?","Yes,No,NA"
CEK-05.1,"Cryptography, Encryption & Key Management","Are standard change management procedures established to review, approve,implement and communicate cryptography, encryption, and key management technologychanges that accommodate internal and external sources?","Yes,No,NA"
CEK-06.1,"Cryptography, Encryption & Key Management","Are changes to cryptography-, encryption- and key management-related systems,policies, and procedures, managed and adopted in a manner that fully accountsfor downstream effects of proposed changes, including residual risk, cost, andbenefits analysis?","Yes,No,NA"
CEK-07.1,"Cryptography, Encryption & Key Management","Is a cryptography, encryption, and key management risk program establishedand maintained that includes risk assessment, risk treatment, risk context, monitoring,and feedback provisions?","Yes,No,NA"
CEK-08.1,"Cryptography, Encryption & Key Management",Are service providers providing service customers with the capacity to manage their own data encryption keys?,"Yes,No,NA"
CEK-09.1,"Cryptography, Encryption & Key Management","Are encryption and key management systems, policies, and processes auditedwith a frequency proportional to the system's risk exposure, and after any securityevent?","Yes,No,NA"
CEK-09.2,"Cryptography, Encryption & Key Management","Are encryption and key management systems, policies, and processes audited(preferably continuously but at least annually)?","Yes,No,NA"
CEK-10.1,"Cryptography, Encryption & Key Management",Are cryptographic keys generated using industry-accepted and approved cryptographiclibraries that specify algorithm strength and random number generator specifications?,"Yes,No,NA"
CEK-11.1,"Cryptography, Encryption & Key Management","Are private keys provisioned for a unique purpose managed, and is cryptographysecret?","Yes,No,NA"
CEK-12.1,"Cryptography, Encryption & Key Management",Are cryptographic keys rotated based on a cryptoperiod calculated while consideringinformation disclosure risks and legal and regulatory requirements?,"Yes,No,NA"
CEK-13.1,"Cryptography, Encryption & Key Management","Are cryptographic keys revoked and removed before the end of the establishedcryptoperiod (when a key is compromised, or an entity is no longer part of theorganization) per defined, implemented, and evaluated processes, procedures, andtechnical measures to include legal and regulatory requirement provisions?","Yes,No,NA"
CEK-14.1,"Cryptography, Encryption & Key Management","Are processes, procedures and technical measures to securely destroy cryptographic keys when they are no longer needed, defined, implemented, and evaluated, and include provisions for legal and regulatory requirements?","Yes,No,NA"
CEK-15.1,"Cryptography, Encryption & Key Management","Are processes, procedures, and technical measures to create keys in a pre-activatedstate (i.e., when they have been generated but not authorized for use) being defined,implemented, and evaluated to include legal and regulatory requirement provisions?","Yes,No,NA"
CEK-16.1,"Cryptography, Encryption & Key Management","Are processes, procedures, and technical measures to monitor, review and approvekey transitions (e.g., from any state to/from suspension) being defined, implemented,and evaluated to include legal and regulatory requirement provisions?","Yes,No,NA"
CEK-17.1,"Cryptography, Encryption & Key Management","Are processes, procedures, and technical measures to deactivate keys (at thetime of their expiration date) being defined, implemented, and evaluated to includelegal and regulatory requirement provisions?","Yes,No,NA"
CEK-18.1,"Cryptography, Encryption & Key Management","Are processes, procedures, and technical measures to manage archived keysin a secure repository (requiring least privilege access) being defined, implemented,and evaluated to include legal and regulatory requirement provisions?","Yes,No,NA"
CEK-19.1,"Cryptography, Encryption & Key Management","Are processes, procedures, and technical measures to use compromised keys toencrypt information in specific scenarios (e.g., only in controlled circumstancesand thereafter only for data decryption and never for encryption) defined,implemented, and evaluated to include legal and regulatory requirement provisions?","Yes,No,NA"
CEK-20.1,"Cryptography, Encryption & Key Management","Are processes, procedures, and technical measures to assess operational continuityrisks (versus the risk of losing control of keying material and exposing protecteddata) being defined, implemented, and evaluated to include legal and regulatoryrequirement provisions?","Yes,No,NA"
CEK-21.1,"Cryptography, Encryption & Key Management","Are key management system processes, procedures, and technical measures beingdefined, implemented, and evaluated to track and report all cryptographic materialsand status changes that include legal and regulatory requirements provisions?","Yes,No,NA"
DCS-01.1,Datacenter Security,"Are policies and procedures for physical and environmental security established, documented, approved, communicated, applied, evaluated, and maintained?","Yes,No,NA"
DCS-01.2,Datacenter Security,"Are policies and procedures for physical and environmental security reviewed and updated at least annually, or upon significant changes?","Yes,No,NA"
DCS-02.1,Datacenter Security,"Are policies and procedures for the secure disposal of equipment used outsidethe organization's premises established, documented, approved, communicated, enforced,and maintained?","Yes,No,NA"
DCS-02.2,Datacenter Security,Is a data destruction procedure applied that renders information recoveryinformation impossible if equipment is not physically destroyed?,"Yes,No,NA"
DCS-02.3,Datacenter Security,Are policies and procedures for the secure disposal of equipment used outsidethe organization's premises reviewed and updated at least annually or upon significant changes?,"Yes,No,NA"
DCS-03.1,Datacenter Security,"Are policies and procedures for the relocation or transfer of hardware, software,or data/information to an offsite or alternate location established, documented,approved, communicated, implemented, enforced, maintained?","Yes,No,NA"
DCS-03.2,Datacenter Security,Does a relocation or transfer request require written or cryptographicallyverifiable authorization?,"Yes,No,NA"
DCS-03.3,Datacenter Security,"Are policies and procedures for the relocation or transfer of hardware, software,or data/information to an offsite or alternate location reviewed and updated atleast annually, or upon significant changes?","Yes,No,NA"
DCS-04.1,Datacenter Security,"Are policies and procedures for maintaining a safe and secure working environment(in offices, rooms, and facilities) established, documented, approved, communicated,enforced, and maintained?","Yes,No,NA"
DCS-04.2,Datacenter Security,"Are policies and procedures for maintaining safe, secure working environments(e.g., offices, rooms) reviewed and updated at least annually, or upon significant changes?","Yes,No,NA"
DCS-05.1,Datacenter Security,"Are policies and procedures for the secure transportation of physical mediaestablished, documented, approved, communicated, enforced, evaluated, and maintained?","Yes,No,NA"
DCS-05.2,Datacenter Security,"Are policies and procedures for the secure transportation of physical mediareviewed and updated at least annually, or upon significant changes?","Yes,No,NA"
DCS-06.1,Datacenter Security,Is the classification and documentation of physical and logical assets basedon the organizational business risk?,"Yes,No,NA"
DCS-06.2,Datacenter Security,Are assets’ classifications reviewed and updated at least annually or upon significant changes?,"Yes,No,NA"
